title;description;accommodation;neighbourhood;rating;evaluators;typeAcomodation;price
Apartamento em Cabo Branco;Encantos de Cabo Branco V;3 camas;Cabo Branco;4.63;48;Apartamento;R$331
Condomínio em Cabo Branco;Fantastico Flat no Blue Sunset;1 cama king;Cabo Branco;4.42;24;Outro;R$196
Loft em Cabo Branco;Ótimo flat na beira mar de Cabo branco;2 camas;Cabo Branco;4.67;28;Outro;R$331
Quarto inteiro em João Pessoa;Quarto estilo hotel em mansão com piscina;1 cama de casal;João Pessoa;5.0;5;Quarto inteiro;R$126
Apartamento em Tambaú;Flat aconchegante no coração da orla de Tambaú.;2 camas;Tambaú;4.52;21;Apartamento;R$262
Apartamento em Conde;Cobertura Localização Privilegiada em Jacuma;4 camas;Conde;4.79;19;Apartamento;R$297
Apartamento em Cabo Branco;Flat Estúdio Beira Mar Cabo Branco;3 camas;Cabo Branco;4.82;11;Apartamento;R$250
Apartamento em Intermares;Lindo Flat Wind;1 cama queen;Intermares;4.2;5;Apartamento;R$156
Apartamento em João Pessoa;Flat no Pacific em Manaíra;2 camas de solteiro;João Pessoa;4.83;30;Apartamento;R$219
Apartamento em Cabo Branco;Flat encantador em João Pessoa no Cabo Branco 🌴;2 camas;Cabo Branco;4.87;76;Apartamento;R$342
Apartamento em Tambaú;Flat beira mar. João Pessoa PB;4 camas;Tambaú;0;0;Apartamento;R$342
Apartamento em João Pessoa;lindo e enorme cobertura;3 camas;João Pessoa;0;0;Apartamento;R$194
Quarto inteiro em João Pessoa;Quarto amplo Refrescante;2 camas;João Pessoa;0;0;Quarto inteiro;R$64
Quarto inteiro em João Pessoa;Michel Hospedagem de Quartos!;1 cama queen;João Pessoa;4.86;21;Quarto inteiro;R$148
Apartamento em Cabo Branco;Flat no Marinas - Beira mar de Cabo Branco;4 camas;Cabo Branco;5.0;6;Apartamento;R$491
Quarto inteiro em Cabo Branco;Quarto com ar, Cabo branco;1 cama;Cabo Branco;4.77;62;Quarto inteiro;R$114
Apartamento em Cabo Branco;Lindo Apartamento no Gold Flat;1 cama de casal;Cabo Branco;4.78;93;Apartamento;R$184
Apartamento em João Pessoa ;Israel Cobertura plana piscina individual vista para o mar;2 camas;João Pessoa ;0;0;Apartamento;R$571
Casa de veraneio em Cabedelo;Casa em camboinha, 250m da praia.;3 camas;Cabedelo;4.97;89;Outro;R$742
Quarto inteiro em João Pessoa;Lindo Apartamento Cabo Branco BT404;1 cama;João Pessoa;4.45;33;Quarto inteiro;R$195
Apartamento em Cabo Branco;PÔR-DO-SOL AZUL PLANO CABO BRANCO;1 cama king;Cabo Branco;4.04;27;Apartamento;R$190
Casa de veraneio em Cabedelo;Casa em camboinha, 250m da praia.;3 camas;Cabedelo;0;0;Outro;R$742
Apartamento em João Pessoa;Beira mar de Tambaú 
Imperial;3 camas;João Pessoa;4.83;6;Apartamento;R$291
Apartamento em João Pessoa;Fantástico Apartamento no Vela & Mar;1 cama de casal;João Pessoa;4.33;3;Apartamento;R$174
Apartamento em João Pessoa;Flat beira-mar Cabo Branco;2 camas;João Pessoa;5.0;5;Apartamento;R$297
Apartamento em João Pessoa;30m da praia de Cabo Branco. Menos de 1 min à pé.;2 camas;João Pessoa;4.67;9;Apartamento;R$286
Quarto inteiro em Jacumã;Suíte de hóspede aconchegante.;1 cama;Jacumã;4.79;24;Quarto inteiro;R$114
Apartamento em Cabo Branco;Encantos de Cabo Branco Xll;3 camas;Cabo Branco;4.8;5;Apartamento;R$308
Quarto inteiro em João Pessoa;Quarto amplo Refrescante;2 camas;João Pessoa;0;0;Quarto inteiro;R$64
Condomínio em Loteamento Bela Vista;Apartamento no melhor do Intermares;2 camas;Loteamento Bela Vista;5.0;3;Outro;R$399
Apartamento em João Pessoa;Estúdio na Praia de Cabo Branco - Blue Sunset;2 camas;João Pessoa;4.79;235;Apartamento;R$234
Quarto inteiro em João Pessoa;Apartamento Encantador Cabo Branco BT206;1 cama;João Pessoa;5.0;4;Quarto inteiro;R$195
Apartamento em João Pessoa;Palácio Flat Manaíra;2 camas;João Pessoa;0;0;Apartamento;R$251
Apartamento em João Pessoa;Apto no Bessa;2 camas;João Pessoa;4.5;6;Apartamento;R$169
